source,target,edge_type,distance_km,source_latitude,source_longitude,target_latitude,target_longitude
19.0,20.0,sedimental,1.4682606796450288,24.300813776579112,54.439903687733334,24.303726886960597,54.42577243824
25.0,26.0,sedimental,1.4451493973538996,24.330261522826763,54.4380443128,24.34286389165103,54.434557984799994
40.0,42.0,sedimental,1.8994098177382996,24.52752975844277,54.563552120800004,24.533466804057223,54.5459461644
40.0,46.0,sedimental,1.8681090114609817,24.52752975844277,54.563552120800004,24.54272859521576,54.57142126114286
41.0,44.0,sedimental,1.831465159179464,24.529429613039394,54.506097435360005,24.545198406191368,54.51132692736
46.0,47.0,sedimental,1.7043753330839693,24.54272859521576,54.57142126114286,24.55684180079067,54.57799547965715
61.0,62.0,sedimental,1.0826003211042465,25.190579012664163,55.324169281028574,25.191528939962478,55.313461273600005
4.0,5.0,tidal,3.996033743440645,24.175513842468508,54.133339245600006,24.19283870700438,54.167853892800004
8.0,9.0,tidal,2.7371041133030607,24.247871161819887,54.2724437328,24.24711121998124,54.29942791152
8.0,14.0,tidal,4.605609571328028,24.247871161819887,54.2724437328,24.27916694844789,54.30220429636365
8.0,17.0,tidal,2.138359554726257,24.247871161819887,54.2724437328,24.266933036272672,54.2752327952
9.0,13.0,tidal,3.573193869465933,24.24711121998124,54.29942791152,24.260362705792684,54.331536992400004
9.0,14.0,tidal,3.575528845021776,24.24711121998124,54.29942791152,24.27916694844789,54.30220429636365
9.0,17.0,tidal,3.297642189378802,24.24711121998124,54.29942791152,24.266933036272672,54.2752327952
10.0,13.0,tidal,3.2613859685696696,24.256562996599435,54.3634368936,24.260362705792684,54.331536992400004
10.0,18.0,tidal,4.5260710454923485,24.256562996599435,54.3634368936,24.271999315196997,54.404749880400004
13.0,14.0,tidal,3.634972486981673,24.260362705792684,54.331536992400004,24.27916694844789,54.30220429636365
14.0,17.0,tidal,3.053704397502875,24.27916694844789,54.30220429636365,24.266933036272672,54.2752327952
18.0,19.0,tidal,4.791726602062515,24.271999315196997,54.404749880400004,24.300813776579112,54.439903687733334
18.0,20.0,tidal,4.12144214040339,24.271999315196997,54.404749880400004,24.303726886960597,54.42577243824
19.0,24.0,tidal,4.373248811462945,24.300813776579112,54.439903687733334,24.326959394599303,54.40766345451429
19.0,25.0,tidal,3.2798561576652125,24.300813776579112,54.439903687733334,24.330261522826763,54.4380443128
19.0,26.0,tidal,4.7070288392795785,24.300813776579112,54.439903687733334,24.34286389165103,54.434557984799994
20.0,24.0,tidal,3.1687333413344514,24.303726886960597,54.42577243824,24.326959394599303,54.40766345451429
20.0,25.0,tidal,3.20185256622081,24.303726886960597,54.42577243824,24.330261522826763,54.4380443128
20.0,26.0,tidal,4.4419505548829985,24.303726886960597,54.42577243824,24.34286389165103,54.434557984799994
24.0,25.0,tidal,3.100027473948954,24.326959394599303,54.40766345451429,24.330261522826763,54.4380443128
24.0,26.0,tidal,3.248431407171179,24.326959394599303,54.40766345451429,24.34286389165103,54.434557984799994
24.0,27.0,tidal,3.1671223436721507,24.326959394599303,54.40766345451429,24.35518580574913,54.41184704811429
25.0,27.0,tidal,3.8372918858510134,24.330261522826763,54.4380443128,24.35518580574913,54.41184704811429
26.0,27.0,tidal,2.677788789306473,24.34286389165103,54.434557984799994,24.35518580574913,54.41184704811429
29.0,31.0,tidal,3.905034217477404,24.441561337945593,54.4617513432,24.45517696255472,54.42619079760001
29.0,34.0,tidal,4.640562304693857,24.441561337945593,54.4617513432,24.477658575281428,54.4387415784
30.0,32.0,tidal,3.2364531791626296,24.44330287132583,54.55100134,24.453164021374963,54.52091930982857
30.0,35.0,tidal,4.301332644229587,24.44330287132583,54.55100134,24.471484047842406,54.521890501200005
31.0,34.0,tidal,2.804065102624719,24.45517696255472,54.42619079760001,24.477658575281428,54.4387415784
32.0,35.0,tidal,2.039464236325317,24.453164021374963,54.52091930982857,24.471484047842406,54.521890501200005
32.0,36.0,tidal,4.219322930135982,24.453164021374963,54.52091930982857,24.488012782833017,54.50442399792
33.0,35.0,tidal,4.389418517440586,24.489094238526487,54.56070942258463,24.471484047842406,54.521890501200005
33.0,40.0,tidal,4.283501583697446,24.489094238526487,54.56070942258463,24.52752975844277,54.563552120800004
34.0,37.0,tidal,4.971109696672782,24.477658575281428,54.4387415784,24.494519784826455,54.484238158800004
35.0,36.0,tidal,2.5499657181452697,24.471484047842406,54.521890501200005,24.488012782833017,54.50442399792
35.0,37.0,tidal,4.591231668418133,24.471484047842406,54.521890501200005,24.494519784826455,54.484238158800004
36.0,37.0,tidal,2.1669707624598957,24.488012782833017,54.50442399792,24.494519784826455,54.484238158800004
36.0,39.0,tidal,4.155116343322724,24.488012782833017,54.50442399792,24.515022382348345,54.476045288
36.0,41.0,tidal,4.608452653955338,24.488012782833017,54.50442399792,24.529429613039394,54.506097435360005
37.0,39.0,tidal,2.4258141560117426,24.494519784826455,54.484238158800004,24.515022382348345,54.476045288
37.0,41.0,tidal,4.467596241291947,24.494519784826455,54.484238158800004,24.529429613039394,54.506097435360005
39.0,41.0,tidal,3.436487043806808,24.515022382348345,54.476045288,24.529429613039394,54.506097435360005
